Word,Frequency
的,3125
是,898
了,861
他,755
在,516
蝶衣,396
和,315
也,309
一个,293
小,286
人,249
对,226
我,224
都,216
程蝶衣,211
就,197
小楼,193
这,180
四爷,179
说,177
有,176
豆子,165
中,159
不,158
自己,155
而,155
被,149
上,148
与,146
霸王,139
又,135
你,129
段小楼,128
就是,118
这个,117
那,117
着,115
把,115
到,110
霸王别姬,108
菊仙,107
没有,100
不是,99
戏,99
为,94
人物,94
她,92
很,91
里,89
要,88
电影,85
我们,84
虞姬,83
张国荣,83
看,82
他们,81
时,81
京剧,80
影片,79
可以,75
人物性格,74
菊,73
地,72
时候,70
但是,70
仙,69
最后,69
去,68
得,67
给,67
从,65
艺术,64
镜头,60
让,60
角色,60
呼应,60
但,59
来,58
袁,57
好,56
因为,56
所以,55
却,54
之后,54
会,53
下,52
已经,52
呢,52
只是,52
日本,51
师傅,50
癞子,50
唱,50
想,50
打,49
两个,48
拍,48
其实,48
师哥,48
戏院,47
小石头,47
将,46
再,46
还,45
什么,45
故事,45
之,44
二人,44
母亲,44
当,44
这样,44
性格,43
做,43
开始,43
孩子,42
爱,42
一种,42
为了,41
并,41
师父,41
更,40
以,40
命运,39
大,39
只,39
冲突,39
看到,38
最,38
一,38
个,38
没,37
非常,37
陈凯歌,37
还是,37
出现,37
谁,36
张公公,36
能,36
戏班,36
知道,36
世界,36
出,35
多,35
人生,35
情节,35
剑,35
懂,35
一次,34
作为,34
那个,33
后,33
于,33
环境,33
终于,33
那么,33
唱戏,32
表现,32
感情,32
京戏,32
用,32
才,32
它,31
一场,31
一段,31
从一而终,31
时间,31
成,31
文革,30
一生,30
娥,30
这种,30
时代,30
精神,30
之间,30
悲剧,30
女娇,30
死,29
比,29
选择,29
师兄,29
可,29
角儿,29
生活,29
一样,29
男儿,28
中国,28
走,28
很多,28
第一次,28
性别,28
导演,28
经理,28
一起,28
历史,28
如果,28
后来,28
过,28
啊,27
成为,27
一句,27
郎,26
声音,26
舞台,26
最终,26
一切,26
片子,26
一辈子,25
前,25
情感,25
像,25
如此,25
对比,25
戏子,25
我本,25
这部,25
真的,24
则,24
背叛,24
四儿,24
片中,24
对于,24
完,24
关,24
女人,24
关系,24
演出,24
男人,24
生命,24
以及,23
一部,23
现实,23
大家,23
跟,23
吗,23
所,23
观众,22
画面,22
这是,22
妓女,22
们,22
经历,22
文化,21
不过,21
场面,21
不能,21
完全,21
暗示,21
于是,21
所有,21
身上,21
而是,20
同时,20
等,20
然后,20
亦,20
当时,20
認為,20
真正,20
完成,20
戏里,20
张丰毅,20
传统,20
象征,20
需要,20
影评,19
可能,19
为什么,19
代表,19
新,19
那爷,19
身份,19
场景,19
重要,19
点,19
起来,19
塑造,19
话,19
不同,19
评论,19
年,19
一直,19
政治,19
娘,18
剧中,18
女性,18
这里,18
过程,18
自杀,18
真,18
当然,18
與,18
东西,18
结果,18
来说,18
可是,18
一個,18
无法,18
并且,18
而且,18
心,18
这篇,18
有剧,18
透,18
對,17
细节,17
出来,17
后面,17
还有,17
影响,17
另,17
巩俐,17
主题,17
始终,17
之中,17
批斗,17
效果,17
分析,17
段,16
冰糖葫芦,16
電影,16
香港,16
主要,16
心里,16
道,16
这些,16
曾经,16
使,16
一定,16
揭发,16
机会,16
无情,16
明显,15
只能,15
婊子,15
吃,15
此处,15
那场,15
当年,15
结束,15
觉得,15
北京,15
四,15
结局,15
已,15
体现,15
表演,15
不会,15
命,15
剧情,15
情绪,15
站,15
台上,15
因此,15
喜欢,15
剧本,15
结尾,15
男性,15
叫,15
错,15
笑,15
坚持,15
由,15
一般,14
吧,14
便,14
看着,14
另外,14
來,14
烧,14
给出,14
变化,14
进行,14
接受,14
這個,14
拍摄,14
相信,14
演,14
形象,14
有人,14
剩下,14
连,14
社会,14
張,14
以后,14
继续,14
也许,14
作用,14
觀眾,14
懂得,14
要求,14
關,14
动作,14
不再,13
程度,13
一些,13
一下,13
同性,13
如,13
或者,13
小时候,13
台下,13
灵魂,13
依然,13
只有,13
甚至,13
整个,13
年代,13
自然,13
演员,13
其,13
阉割,13
得到,13
理解,13
关于,13
这场,13
戏剧,13
或许,13
拿,13
结构,13
音响,13
其他,13
带,12
音乐,12
进,12
突然,12
时期,12
复杂,12
完美,12
心中,12
来看,12
同样,12
比如,12
原来,12
实在,12
台词,12
手指,12
想起,12
本片,12
失去,12
剧组,12
正是,12
救,12
永远,12
自刎,12
成全,12
之前,12
怎么,12
讲述,12
除了,12
作者,12
现在,12
感动,12
空间,12
恨,12
那样,12
更是,12
知己,11
过去,11
向,11
一片,11
眼神,11
整部,11
印象,11
扮演,11
戏中,11
由于,11
小四,11
方式,11
令人,11
桥段,11
情况,11
从小,11
史诗,11
美,11
同性恋,11
人性,11
面对,11
伏笔,11
一位,11
那种,11
照顾,11
爱情,11
所谓,11
处,11
事,11
宝剑,11
那些,11
會,11
一点,11
讲,11
听,11
离开,11
既,11
矛盾,11
流逝,11
回到,11
世上,11
其中,11
找,11
不要,11
内心,10
前面,10
第二次,10
人们,10
各种,10
这么,10
不知,10
刻画,10
使得,10
起,10
原因,10
师兄弟,10
认为,10
时刻,10
太,10
男子,10
似乎,10
假,10
开场,10
走向,10
语言,10
意识,10
曾,10
绝望,10
疯狂,10
在于,10
如何,10
彻底,10
下去,10
从此,10
国民党,10
凱歌,10
俗世,10
然而,10
大烟,10
再次,10
进入,10
注意,10
的话,10
可谓,10
正,10
贵妃醉酒,10
认同,10
感觉,10
部分,10
叙事,10
說,10
展现,10
陳,10
地方,10
态度,10
女子,10
疯魔,10
通过,9
個,9
请,9
原本,9
面前,9
注定,9
那一刻,9
明白,9
一面,9
唯一,9
倒,9
哭,9
每,9
抱,9
经常,9
李碧华,9
演員,9
希望,9
实际上,9
拔剑,9
第三次,9
回,9
直到,9
思想,9
宿命,9
运用,9
黑暗,9
两人,9
满楼,9
痴迷,9
是因为,9
戏园子,9
处理,9
色彩,9
告诉,9
坐,9
起到,9
便是,9
帮,9
特写,9
多余,9
点题,9
任何,9
那麼,9
恍惚,9
回头,9
见,9
能够,9
发现,9
线,9
成功,9
回来,9
终究,9
了解,9
虽然,9
意义,8
充满,8
显得,8
问题,8
很大,8
经典,8
必须,8
情境,8
真实,8
全部,8
仿佛,8
门,8
袁世卿,8
记得,8
调度,8
法庭,8
打倒,8
窑姐,8
节奏,8
身边,8
留下,8
方面,8
达到,8
内,8
十分,8
思凡,8
出场,8
人物传记,8
旧,8
顾长卫,8
戏痴,8
別姬,8
状态,8
迷恋,8
女孩,8
丰富,8
戏外,8
怕,8
接下来,8
意思,8
光,8
符合,8
一刻,8
联系,8
汉奸,8
问,8
太监,8
戏服,8
花,8
痛苦,8
東西,8
以为,8
几乎,8
每个,8
嘴,8
喊,8
无,8
喜福成,8
挨打,8
心理,8
等等,8
跑,8
实现,8
应该,8
鼓掌,8
穿着,8
害怕,8
看见,8
捧,8
拍砖,8
门口,8
科班,8
只要,8
运动,8
主角,8
尊严,8
仍然,8
懂戏,8
自个儿,8
并非,8
其實,8
里面,8
敏感,8
式,8
哪,8
感受,8
国军,8
角度,8
俩,8
先是,8
灯光,8
感,8
合作,8
值得,8
这时候,8
脸上,8
慢慢,7
纯粹,7
看似,7
情份,7
无义,7
形式,7
痴,7
发生,7
能力,7
当中,7
一年,7
更加,7
气氛,7
一出,7
讓,7
送,7
红尘,7
发展,7
离去,7
巧妙,7
所说,7
做到,7
实际,7
覺得,7
於,7
有着,7
戒烟,7
有点,7
这次,7
红卫兵,7
国家,7
本,7
直接,7
写,7
背景,7
一幕,7
因,7
此时,7
逃跑,7
展开,7
三个,7
掌声,7
理想,7
追求,7
朋友,7
精彩,7
女性化,7
造型,7
对白,7
交代,7
保护,7
有些,7
因為,7
经过,7
处于,7
衣服,7
渴望,7
母性,7
脸,7
不管,7
贵族,7
多年,7
不如,7
