Word,Frequency
的,1281
了,299
是,297
在,233
他,218
我,190
和,120
人,117
也,100
有,100
都,99
就,97
自由,97
一个,95
自己,94
这,90
我们,88
安迪,83
电影,83
被,83
监狱,78
这个,72
不,71
没有,67
你,60
救赎,60
着,60
可以,59
而,57
让,56
中,56
里,54
说,54
对,53
那,47
上,47
希望,47
就是,46
肖申克,46
会,44
到,43
不是,43
因为,41
时候,41
给,40
但,39
很,39
像,38
看,37
这部,34
它,34
生活,34
他们,34
却,34
地,34
这样,33
其实,33
最后,33
什么,32
一样,31
来,31
为,30
知道,29
觉得,28
如果,28
那个,27
好,27
体制,26
年,26
又,26
要,26
瑞德,26
还,26
去,26
已经,25
从,25
获得,25
后,24
把,24
想,24
能,24
也许,23
任何,23
所以,22
最,22
与,22
得,22
那么,21
更,21
多,21
才,21
是否,21
们,21
影评,20
可,20
记得,20
个,20
影片,20
朋友,20
过,20
人们,19
之后,19
喜欢,19
一切,19
还是,19
不会,18
这篇,18
最终,18
并,18
时,18
用,18
作者,18
将,17
这里,17
东西,17
无法,17
一点,17
只,16
开始,16
呢,16
看到,16
可能,16
小说,16
监狱长,16
评论,16
有剧,16
透,16
非常,16
一部,15
虽然,15
自然,15
走,15
很多,15
似乎,15
下,15
当,15
感觉,15
这些,14
需要,14
甚至,14
再,14
生存,14
一种,14
爱,14
习惯,13
图书馆,13
死,13
存在,13
鸡奸,13
一些,13
豆瓣,13
终于,13
不同,13
世界,13
对于,13
越狱,13
只是,13
所有,13
做,13
人生,12
作品,12
地方,12
她,12
囚犯,12
本片,12
在于,12
有些,12
两个,12
那些,12
情节,12
只能,12
社会,12
时间,12
这么,11
以,11
没,11
但是,11
或者,11
关于,11
这种,11
外面,11
化,11
还有,11
导演,11
鲨堡,11
等,11
事,11
所,11
告诉,11
坚持,11
音乐,11
片子,11
新,10
回忆,10
选择,10
写,10
吧,10
别人,10
生命,10
于,10
微笑,10
狱友,10
之,10
美好,10
如此,10
那样,10
老布,10
内心,10
镜头,10
拍摄,10
真正,10
请,10
典狱长,10
鸟,10
要么,10
出,10
怎么,10
梦想,10
啤酒,10
如,10
为什么,10
故事,10
经典,10
比较,10
一刻,9
只要,9
一年,9
太,9
后来,9
感受,9
毅力,9
天才,9
那种,9
除了,9
结局,9
比,9
爱情,9
重要,9
阿瑞,9
可是,9
出来,9
然而,9
活着,9
高墙,9
一次,9
依然,9
而是,9
第一次,9
过程,9
角色,9
吗,9
每个,9
曾经,9
肖申,8
联系,8
神,8
曾,8
汤米,8
计划,8
成功,8
假释,8
像是,8
克里,8
发现,8
应该,8
原因,8
啊,8
无罪,8
来自,8
完,8
诺顿,8
叫,8
面对,8
相信,8
这是,8
事实上,8
于是,8
的确,8
比如,8
问题,8
老,8
不得不,7
圣经,7
方式,7
妻子,7
大,7
弗里,7
台词,7
美妙,7
银行家,7
第一,7
摩根,7
知识,7
一直,7
然后,7
明白,7
忙,7
原著,7
想要,7
力量,7
本来,7
不能,7
一,7
每,7
三,7
制度,7
永远,7
主题,7
起来,7
仿佛,7
思考,7
找到,7
不过,7
真的,7
跟,7
失去,7
如何,7
美国,7
主角,7
片,7
一起,6
归,6
奇怪,6
形式,6
才能,6
追求,6
里面,6
黑人,6
转载,6
它们,6
打开,6
看守,6
之前,6
或者说,6
么,6
绝望,6
打,6
出狱,6
而言,6
听,6
尊重,6
出现,6
包括,6
版权,6
得到,6
哪怕,6
外,6
该,6
谁,6
依靠,6
理解,6
而且,6
其中,6
本文,6
场景,6
当安迪,6
从未,6
扮演,6
解读,6
伟大,6
激动,6
能力,6
胖子,6
刺激,6
思想,6
为了,6
努力,6
犯,6
价值,6
时刻,6
不想,6
一般,6
观众,6
今天,6
多少,6
金,6
大家,6
斯蒂芬,6
以为,6
曼,6
大众,6
常人,6
当然,6
信念,6
或许,6
警察,5
理由,5
这句,5
成为,5
无,5
间,5
典型,5
煽情,5
准备,5
之所以,5
一场,5
现实,5
词,5
深深,5
情况,5
给予,5
隧道,5
精神,5
彻底,5
靠,5
姐妹,5
人间,5
审判,5
年轻,5
至善,5
石头,5
永不,5
报税,5
实际,5
能够,5
上帝,5
灵魂,5
一天,5
确实,5
分,5
之下,5
懒惰,5
不仅,5
实际上,5
爬,5
大概,5
首先,5
艺术,5
几乎,5
精彩,5
决定,5
实在,5
大多数,5
代表,5
达到,5
规则,5
杀人,5
只不过,5
入狱,5
正是,5
枪,5
周围,5
安静,5
囚禁,5
智慧,5
作为,5
法庭,5
布鲁克斯,5
完全,5
梦,5
现在,5
令,5
其,5
下水道,5
感动,5
逃出,5
阳光,5
幸福,5
来说,5
无比,5
是因为,5
即使,5
自杀,5
争取,5
画面,5
长,5
否则,5
坐在,5
报告,5
整个,5
离开,5
来到,5
口琴,5
阿甘正传,5
实现,5
意义,5
答案,4
同性恋,4
下去,4
剥夺,4
每次,4
常常,4
家庭,4
评价,4
化身,4
月,4
只有,4
人物,4
兴奋,4
渴望,4
众人,4
未知,4
厕所,4
元素,4
心灵,4
结尾,4
拥有,4
不可,4
主人公,4
结果,4
看见,4
部分,4
当时,4
奥斯卡,4
可怕,4
一定,4
第二次,4
基本,4
拿,4
用来,4
话,4
多年,4
大话西游,4
蒂姆,4
之外,4
一句,4
进入,4
牢笼,4
基本上,4
者,4
那时,4
舞台,4
差距,4
一辈子,4
事物,4
有人,4
所谓,4
主,4
前,4
名字,4
束缚,4
罪名,4
牢里,4
因此,4
另,4
出去,4
事情,4
命运,4
单位,4
矛盾,4
光,4
管理员,4
傲慢,4
之一,4
不到,4
表现,4
还要,4
生,4
重获,4
墨西哥,4
办法,4
听到,4
动物,4
谋杀,4
失败,4
想象,4
幻想,4
墙上,4
的话,4
牢房,4
看着,4
带来,4
再次,4
改变,4
心里,4
不错,4
神秘,4
最好,4
监禁,4
设计,4
买,4
剧本,4
完美,4
有着,4
有罪,4
企图,4
高级,4
鸟儿,4
已,4
片中,4
喝酒,4
向往,4
巨大,4
太平洋,4
犯人,4
一位,4
申请,4
摆脱,4
奇迹,4
因,4
适应,4
